City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
364,tarbes,88,FR,1528144200,93,43.23,0.08,60.8,4.7
365,mayumba,44,GA,1528144992,96,-3.44,10.65,74.93,4.38
366,machico,40,PT,1528144200,88,32.7,-16.77,66.2,10.29
367,rauma,44,FI,1528143600,43,61.13,21.5,50.0,19.46
368,san policarpo,68,PH,1528144994,100,12.18,125.51,79.03,6.62
369,bitung,20,ID,1528144200,94,1.44,125.19,75.2,1.12
370,haines junction,88,CA,1528144994,78,60.75,-137.51,47.44,1.48
371,formosa do rio preto,32,BR,1528144994,43,-11.04,-45.19,84.88,8.52
372,pachmarhi,8,IN,1528144995,72,22.47,78.44,74.03,2.48
373,awjilah,8,LY,1528144995,26,29.14,21.3,75.47,2.37
374,ambon,90,FR,1528144200,88,47.55,-2.56,66.2,1.12
375,watertown,1,US,1528143300,37,44.9,-97.12,87.8,14.99
376,yaan,44,NG,1528144996,86,7.38,8.57,78.26,9.64
377,nago,40,IT,1528143600,82,45.88,10.89,68.0,3.36
378,yuncheng,0,CN,1528144996,81,35.03,111.0,50.59,2.59
379,karia,0,NG,1528144997,70,11.73,11.16,79.52,2.93
380,ambilobe,88,MG,1528144997,64,-13.19,49.05,77.41,1.36
381,college,20,US,1528142280,35,64.86,-147.8,69.8,7.07
382,tamasopo,0,MX,1528144998,40,21.92,-99.39,85.73,8.52
383,benjamin aceval,90,PY,1528142400,76,-24.97,-57.57,57.2,8.05
384,ust-omchug,68,RU,1528144999,42,61.13,149.63,42.49,4.38
